英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
F001V	证券类别	varchar(12) 
F002D	上市日期	DATE    
F003V	上市地点	varchar(12) 
F004V	上市状态	varchar(12) 
F005D	摘牌日期	DATE    
F006V	ISIN代码	varchar(12) 
F007V	英文名称	varchar(60) 
F008V	英文简称	varchar(60) 
F009D	成立日期	DATE    
F010N	注册资本	numeric(14,4)   
F011V	法定代表人	varchar(60)   
F012V	主营业务	varchar(500)    
F013V	经营范围	varchar(4000)   
F014V	公司简介	varchar(2000)   
F015V	省份	varchar(60) 
F016V	城市	varchar(60) 
F017V	注册地址	varchar(100)    
F018V	办公地址	varchar(100)    
F019V	邮编	varchar(10) 
F020V	公司电话	varchar(60) 
F021V	公司传真	varchar(60) 
F022V	公司电子邮件地址	varchar(80) 
F023V	公司网站	varchar(80) 
F024V	证监会一级行业名称	varchar(60) 
F025V	证监会二级行业名称	varchar(60) 
F026V	申万行业一级名称	varchar(60) 
F027V	申万行业二级名称	varchar(60) 
F028V	申万行业三级名称	varchar(60) 
F029V	董事长	varchar(60) 
F030V	独立董事	varchar(100)	多名
F031V	总经理	varchar(60)	
F032V	董事会秘书	varchar(40)	
F033V	董秘电话	varchar(60) 
F034V	董秘传真	varchar(60) 
F035V	董秘邮箱	varchar(80) 
F036V	证券事务代表	varchar(500)    
F037V	会计师事务所	varchar(500)    
F038V	律师事务所	varchar(500)    
